BIN Number,Complaint Number,Complaint  Category,Complaint  Category Description,Priority Code,Borough Digit,Borough Name,P_HOUSE_NUMBER,P_STREET_NAME,P_ZIP,P_NUMBER_OF_STORIES,DOF Building Classification,P_FIN_BLDG_CLASS,P_FIN_STORIES,COMPLAINT_DATE,D_MONTH,D_YEAR,INSPECTION_DATE,Inspector ID,Disposition Code,Complaint Disposition Description,cnxarraycolumn,Inspector Comments,C_NOTIFICATION_TEXT,ECB Violation Number
1001816,1465803,1L,GAS UTILITY REFERRAL,D,1,Manhattan,43,MOTT STREET,10013,6,WALK-UP APTS:OVER 6 FAMILIES(W STORES),C7,6,11/18/2017,1,2018,1/18/2018 0:00,2875,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,"RANG BELLS KNOCKED ON DOOR NO ANSWER POSTED NOTICE TO CALL FOR INSPECTION , 1ST  ATTEMPT.",,
1001816,1465803,1L,GAS UTILITY REFERRAL,D,1,Manhattan,43,MOTT STREET,10013,6,WALK-UP APTS:OVER 6 FAMILIES(W STORES),C7,6,11/18/2017,1,2018,1/19/2018 0:00,2695,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,1,GAS WORK COVERED UNDER PERMIT # 122959129 AND JOB WAS SIGNED OFF,,
1002123,1435673,1L,GAS UTILITY REFERRAL,D,1,Manhattan,385,GREENWICH STREET,10013,4,SINGLE/MULT RES W/STORES/OFFICES,S9,4,10/21/2016,11,2016,11/23/2016 0:00,2722,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,NO ANSWER TO BELL 1ST ATTEMPT,,
1002123,1435673,1L,GAS UTILITY REFERRAL,D,1,Manhattan,385,GREENWICH STREET,10013,4,SINGLE/MULT RES W/STORES/OFFICES,S9,4,10/21/2016,12,2016,12/15/2016 0:00,2679,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,1,WORK ON GAS LINES COVERED BY PERMIT # 120003183,,
1002302,1462099,1L,GAS UTILITY REFERRAL,D,1,Manhattan,44,LISPENARD STREET,10013,5,CONDOMINIUMS:SPECIAL CONDO BILLING LOT,R0,5,10/3/2017,11,2017,11/13/2017 0:00,2679,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,0,ALL WORK ON GAS COVERED BY PERMIT# 121333798,,
1002630,1437483,1L,GAS UTILITY REFERRAL,D,1,Manhattan,106,MULBERRY STREET,10013,6,WALK-UP APTS:OVER 6 FAMILIES(W STORES),C7,6,11/16/2016,1,2017,1/25/2017 0:00,2374,E6,COMPLAINT ASSIGNED TO SPECIAL OPERATIONS UNIT,0,REFER TO SPECIAL OPS,,35226268K
1002630,1437483,1L,GAS UTILITY REFERRAL,D,1,Manhattan,106,MULBERRY STREET,10013,6,WALK-UP APTS:OVER 6 FAMILIES(W STORES),C7,6,11/16/2016,1,2017,1/25/2017 0:00,2374,E6,COMPLAINT ASSIGNED TO SPECIAL OPERATIONS UNIT,0,REFER TO SPECIAL OPS,,35226269M
1002630,1437483,1L,GAS UTILITY REFERRAL,D,1,Manhattan,106,MULBERRY STREET,10013,6,WALK-UP APTS:OVER 6 FAMILIES(W STORES),C7,6,11/16/2016,1,2017,1/28/2017 0:00,2294,A8,ECB VIOLATION SERVED,1,REPLACED TOILET SINK BATHTUB SHUT OFF VALVES GAS STOVE IN AP                     T #16 3RD FLOOR - NO PERMIT,,35226268K
1002630,1437483,1L,GAS UTILITY REFERRAL,D,1,Manhattan,106,MULBERRY STREET,10013,6,WALK-UP APTS:OVER 6 FAMILIES(W STORES),C7,6,11/16/2016,1,2017,1/28/2017 0:00,2294,A8,ECB VIOLATION SERVED,1,REPLACED TOILET SINK BATHTUB SHUT OFF VALVES GAS STOVE IN AP                     T #16 3RD FLOOR - NO PERMIT,,35226269M
1002676,1470541,1L,GAS UTILITY REFERRAL,D,1,Manhattan,243,CANAL STREET,10013,6,LOFT BUILDINGS:WITH STORES OTHER THAN TYPE ONE,L8,6,1/22/2018,1,2018,1/25/2018 0:00,2664,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,0,GAS PIPING REMOVED UNDER LAA # 140639806,,
1002692,1440299,1L,GAS UTILITY REFERRAL,D,1,Manhattan,261,CANAL STREET,10013,6,LOFT BUILDINGS:MISCELLANEOUS,L9,6,12/30/2016,1,2017,1/31/2017 0:00,2374,E6,COMPLAINT ASSIGNED TO SPECIAL OPERATIONS UNIT,0,REFER TO SP OPS,,35229128M
1002692,1440299,1L,GAS UTILITY REFERRAL,D,1,Manhattan,261,CANAL STREET,10013,6,LOFT BUILDINGS:MISCELLANEOUS,L9,6,12/30/2016,2,2017,2/4/2017 0:00,2294,A8,ECB VIOLATION SERVED,1,"JIM CAP INSTALLED ON DRAIN LINE, DRAIN LINE TAPPED INTO                          SEWER LINE",,35229128M
1002726,1452267,1L,GAS UTILITY REFERRAL,D,1,Manhattan,1,LISPENARD STREET,10013,3,STORES WITH APARTMENTS ABOVE,K4,3,6/5/2017,6,2017,6/19/2017 0:00,2875,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,0,"NO VIOLATED CONDITION OBSERVED AT THE TIME OF MY INSPECTION.NO ILLEGAL GAS BYPAS S ,NO FURTHER ACTION NECESSARY.",,
1002842,1438311,1L,GAS UTILITY REFERRAL,D,1,Manhattan,35,VESTRY STREET,10013,6,CONDOMINIUMS:SPECIAL CONDO BILLING LOT,R0,6,11/29/2016,1,2017,1/6/2017 0:00,2695,C3,ACCESS DENIED - 1ST ATTEMPT,0,FEMALE IN APARTMENT 4 DENIED ACCESS OVER DOOR BELL SYSTEM. LEFT NOTICE TO CALL   FOR INSPECTION.,,
1002842,1438311,1L,GAS UTILITY REFERRAL,D,1,Manhattan,35,VESTRY STREET,10013,6,CONDOMINIUMS:SPECIAL CONDO BILLING LOT,R0,6,11/29/2016,1,2017,1/28/2017 0:00,2758,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,1,NO ANSWER TO KNOCKS ON THE DOOR OR DOOR BELLS; FINAL ATTEMPT,,
1002859,1468158,1L,GAS UTILITY REFERRAL,D,1,Manhattan,181,HUDSON STREET,10013,8,CONDOMINIUMS:SPECIAL CONDO BILLING LOT,R0,8,12/18/2017,1,2018,1/5/2018 0:00,2744,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,1,"GOT ACCESS TO THE METER ROOM, METER FOR APT# 7D, LOCK.. NO ACCESS TO THE         APT#7D...",,
1002859,1468158,1L,GAS UTILITY REFERRAL,D,1,Manhattan,181,HUDSON STREET,10013,8,CONDOMINIUMS:SPECIAL CONDO BILLING LOT,R0,8,12/18/2017,12,2017,12/28/2017 0:00,2554,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,"NO ANSWER TO DOORBELLS AND KNOCKS ON FRONT DOOR, UNABLE TO LOCATE SUPER, POSTED  NOTICE, 1ST ATTEMPT",,
1003006,1441781,1L,GAS UTILITY REFERRAL,D,1,Manhattan,303,CANAL STREET,10013,3,STORES WITH APARTMENTS ABOVE,K4,3,1/23/2017,1,2017,1/30/2017 0:00,2695,L1,PARTIAL STOP WORK ORDER                                                 P,0,WORK WITHOUT A PERMIT; REMOVAL OF GAS PIPE IN BUILDING TO MAIN GAS HOUSE VALVE.  PERMITS ON FILE DOES NOT COVER ANY GAS WORK. UTILITY COMPANY CAME PRIOR TO OUR I NSPECTION AND LOCKED VALVE. PARTIAL STOP WORK ORDER FOR GAS WORK WAS ISSUED.,,
1003006,1441781,1L,GAS UTILITY REFERRAL,D,1,Manhattan,303,CANAL STREET,10013,3,STORES WITH APARTMENTS ABOVE,K4,3,1/23/2017,11,2017,11/3/2017 0:00,1992,L2,STOP WORK ORDER FULLY RESCINDED                                         N,1,SWO FULLY RESCINDED. ALL WORK &amp; FEE'S APPROVED UNDER DOB NOW PERMIT #M00000200,,
1003019,1445027,1L,GAS UTILITY REFERRAL,D,1,Manhattan,455,BROADWAY,10013,5,OFFICE BUILDINGS:SEMI FIREPROOF OFFICE BUILDING,O5,5,3/7/2017,3,2017,3/17/2017 0:00,2664,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,RANG DOOR BELLS NO ANSWER. LEFT NOTICE TO CALL FOR INSPECTION,,35250701M
1003019,1445027,1L,GAS UTILITY REFERRAL,D,1,Manhattan,455,BROADWAY,10013,5,OFFICE BUILDINGS:SEMI FIREPROOF OFFICE BUILDING,O5,5,3/7/2017,3,2017,3/17/2017 0:00,2664,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,RANG DOOR BELLS NO ANSWER. LEFT NOTICE TO CALL FOR INSPECTION,,35250702Y
1003019,1445027,1L,GAS UTILITY REFERRAL,D,1,Manhattan,455,BROADWAY,10013,5,OFFICE BUILDINGS:SEMI FIREPROOF OFFICE BUILDING,O5,5,3/7/2017,3,2017,3/22/2017 0:00,2679,A8,ECB VIOLATION SERVED,1,VIOLATIONS SERVED FOR WORK WITHOUT PERMIT ON GAS LINE ON 5TH FLOOR,,35250701M
1003019,1445027,1L,GAS UTILITY REFERRAL,D,1,Manhattan,455,BROADWAY,10013,5,OFFICE BUILDINGS:SEMI FIREPROOF OFFICE BUILDING,O5,5,3/7/2017,3,2017,3/22/2017 0:00,2679,A8,ECB VIOLATION SERVED,1,VIOLATIONS SERVED FOR WORK WITHOUT PERMIT ON GAS LINE ON 5TH FLOOR,,35250702Y
1003075,1449373,1L,GAS UTILITY REFERRAL,D,1,Manhattan,187,GRAND STREET,10013,3,RESIDENCE-MULTI USE:PRIMARY 2 FAMILY W STORE/OFFICE,S2,3,5/1/2017,5,2017,5/10/2017 0:00,2554,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,"NO ANSWER TO MULTIPLE KNOCKS ON DOOR, POSTED NOTICE, 1ST ATTEMPT",,35250608H
1003075,1449373,1L,GAS UTILITY REFERRAL,D,1,Manhattan,187,GRAND STREET,10013,3,RESIDENCE-MULTI USE:PRIMARY 2 FAMILY W STORE/OFFICE,S2,3,5/1/2017,5,2017,5/10/2017 0:00,2554,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,"NO ANSWER TO MULTIPLE KNOCKS ON DOOR, POSTED NOTICE, 1ST ATTEMPT",,35250609J
1003075,1449373,1L,GAS UTILITY REFERRAL,D,1,Manhattan,187,GRAND STREET,10013,3,RESIDENCE-MULTI USE:PRIMARY 2 FAMILY W STORE/OFFICE,S2,3,5/1/2017,5,2017,5/10/2017 0:00,2554,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,"NO ANSWER TO MULTIPLE KNOCKS ON DOOR, POSTED NOTICE, 1ST ATTEMPT",,35250610R
1003075,1449373,1L,GAS UTILITY REFERRAL,D,1,Manhattan,187,GRAND STREET,10013,3,RESIDENCE-MULTI USE:PRIMARY 2 FAMILY W STORE/OFFICE,S2,3,5/1/2017,5,2017,5/15/2017 0:00,2602,A8,ECB VIOLATION SERVED,1,VIOLATIONS ISSUED FOR UNLICENSED AND PLUMBING WORK WITHOUT A PERMIT ON NEW GAS P IPING FOR APT 2 ON THE 3RD FLOOR  FOR STOVE,,35250608H
1003075,1449373,1L,GAS UTILITY REFERRAL,D,1,Manhattan,187,GRAND STREET,10013,3,RESIDENCE-MULTI USE:PRIMARY 2 FAMILY W STORE/OFFICE,S2,3,5/1/2017,5,2017,5/15/2017 0:00,2602,A8,ECB VIOLATION SERVED,1,VIOLATIONS ISSUED FOR UNLICENSED AND PLUMBING WORK WITHOUT A PERMIT ON NEW GAS P IPING FOR APT 2 ON THE 3RD FLOOR  FOR STOVE,,35250609J
1003075,1449373,1L,GAS UTILITY REFERRAL,D,1,Manhattan,187,GRAND STREET,10013,3,RESIDENCE-MULTI USE:PRIMARY 2 FAMILY W STORE/OFFICE,S2,3,5/1/2017,5,2017,5/15/2017 0:00,2602,A8,ECB VIOLATION SERVED,1,VIOLATIONS ISSUED FOR UNLICENSED AND PLUMBING WORK WITHOUT A PERMIT ON NEW GAS P IPING FOR APT 2 ON THE 3RD FLOOR  FOR STOVE,,35250610R
1003214,1434604,1L,GAS UTILITY REFERRAL,D,1,Manhattan,196,MONROE STREET,10002,6,"EDUCATIONAL STRUCTURES:PUBLIC ELEM,JUNIOR,SENIOR HIGH SCHOOL",W1,6,10/7/2016,12,2016,12/8/2016 0:00,2720,A8,ECB VIOLATION SERVED,0,ECB VIOLATION ISSUED DUE TO WORK WITHOUT A PERMIT ON GAS PIPING IN THE GAS METER ROOM.,,35203695N
1003242,1437468,1L,GAS UTILITY REFERRAL,D,1,Manhattan,150,HENRY STREET,10002,4,WALK-UP APTS:OVER 6 FAMILIES(W/O STORES),C1,4,11/16/2016,1,2017,1/28/2017 0:00,2758,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,1,NO ACCESS TO APT 1B OR GAS METERS; METERS ARE IN BASEMENT AND DOOR IS LOCKED;    FINAL ATTEMPT,,
1003242,1437468,1L,GAS UTILITY REFERRAL,D,1,Manhattan,150,HENRY STREET,10002,4,WALK-UP APTS:OVER 6 FAMILIES(W/O STORES),C1,4,11/16/2016,12,2016,12/15/2016 0:00,2679,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,NO ACCESS. RANG BELLS- NO ANSWER. 1ST ATTEMPT,,
1003265,1448915,1L,GAS UTILITY REFERRAL,D,1,Manhattan,49,MONROE STREET,10002,4,FACTORY/INDUSTRIAL BLDGS:MISCELLANEOUS,F9,4,4/25/2017,5,2017,5/8/2017 0:00,2554,C3,ACCESS DENIED - 1ST ATTEMPT,0,"DENIED BY MALE WORKER FROM RESTAURANT, POSTED NOTICE, 1ST ATTEMPT",,
1003265,1448915,1L,GAS UTILITY REFERRAL,D,1,Manhattan,49,MONROE STREET,10002,4,FACTORY/INDUSTRIAL BLDGS:MISCELLANEOUS,F9,4,4/25/2017,5,2017,5/25/2017 0:00,2695,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,1,"KNOCKED ON DOOR TO RESTAURANT, NO ANSWER. LEFT NOTICE TO CALL FOR INSPECTION.",,
1003298,1464882,1L,GAS UTILITY REFERRAL,D,1,Manhattan,39,MONROE STREET,10002,4,SINGLE/MULT RES W/STORES/OFFICES,S9,4,11/8/2017,11,2017,11/30/2017 0:00,2744,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,"UNABLE TO GAIN ACCESS TO PREMISES, DOOR PADLOCK AT THE TIME OF MY INSPECTION,    1ST ATTEMPT",,
1003298,1464882,1L,GAS UTILITY REFERRAL,D,1,Manhattan,39,MONROE STREET,10002,4,SINGLE/MULT RES W/STORES/OFFICES,S9,4,11/8/2017,12,2017,12/15/2017 0:00,2679,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,1,CONSTRUCTION DOOR PADLOCK. 2ND ATTEMPT,,
1003322,1450139,1L,GAS UTILITY REFERRAL,D,1,Manhattan,76,MADISON STREET,10002,6,WALK-UP APTS:OVER 6 FAMILIES(W STORES),C7,6,5/9/2017,6,2017,6/3/2017 0:00,2720,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,"FRONT DOOR LOCKED, NO ACCESS TO BELLS. NOTICE LEFT, 1ST ATTEMPT.",,
1003322,1450139,1L,GAS UTILITY REFERRAL,D,1,Manhattan,76,MADISON STREET,10002,6,WALK-UP APTS:OVER 6 FAMILIES(W STORES),C7,6,5/9/2017,6,2017,6/19/2017 0:00,2695,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,1,"ACCESS INTO BUILDING, NO ACCESS INTO CELLAR AREA, LEFT NOTICE TO CALL FOR        INSPECTION.",,
1003397,1438036,1L,GAS UTILITY REFERRAL,D,1,Manhattan,23,HENRY STREET,10002,0,WALK-UP APTS:OLD LAW TENEMENTS,C4,0,11/23/2016,1,2017,1/25/2017 0:00,2374,E6,COMPLAINT ASSIGNED TO SPECIAL OPERATIONS UNIT,0,REFER TO SPECIAL OPS,,35229108P
1003397,1438036,1L,GAS UTILITY REFERRAL,D,1,Manhattan,23,HENRY STREET,10002,0,WALK-UP APTS:OLD LAW TENEMENTS,C4,0,11/23/2016,1,2017,1/25/2017 0:00,2374,E6,COMPLAINT ASSIGNED TO SPECIAL OPERATIONS UNIT,0,REFER TO SPECIAL OPS,,35229111X
1003397,1438036,1L,GAS UTILITY REFERRAL,D,1,Manhattan,23,HENRY STREET,10002,0,WALK-UP APTS:OLD LAW TENEMENTS,C4,0,11/23/2016,2,2017,2/4/2017 0:00,2294,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,1,NO ACCESS 1ST ATTEMPT,,35229108P
1003397,1438036,1L,GAS UTILITY REFERRAL,D,1,Manhattan,23,HENRY STREET,10002,0,WALK-UP APTS:OLD LAW TENEMENTS,C4,0,11/23/2016,2,2017,2/4/2017 0:00,2294,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,1,NO ACCESS 1ST ATTEMPT,,35229111X
1003397,1438036,1L,GAS UTILITY REFERRAL,D,1,Manhattan,23,HENRY STREET,10002,0,WALK-UP APTS:OLD LAW TENEMENTS,C4,0,11/23/2016,2,2017,2/7/2017 0:00,2773,A8,ECB VIOLATION SERVED,2,VIOLATING CONDITION OBSERVED. SUMMONS ISSUED,,35229108P
1003397,1438036,1L,GAS UTILITY REFERRAL,D,1,Manhattan,23,HENRY STREET,10002,0,WALK-UP APTS:OLD LAW TENEMENTS,C4,0,11/23/2016,2,2017,2/7/2017 0:00,2773,A8,ECB VIOLATION SERVED,2,VIOLATING CONDITION OBSERVED. SUMMONS ISSUED,,35229111X
1003397,1446125,1L,GAS UTILITY REFERRAL,D,1,Manhattan,23,HENRY STREET,10002,0,WALK-UP APTS:OLD LAW TENEMENTS,C4,0,3/21/2017,3,2017,3/25/2017 0:00,2695,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,"NO DOOR BELLS OUTSIDE BUILDING, DOOR LOCKED, AND BOILER ROOM DOOR LOCKED, NO ANS WER ON KNOCKS. LEFT NOTICE TO CALL FOR INSPECTION.",,
1003397,1446125,1L,GAS UTILITY REFERRAL,D,1,Manhattan,23,HENRY STREET,10002,0,WALK-UP APTS:OLD LAW TENEMENTS,C4,0,3/21/2017,3,2017,3/30/2017 0:00,2554,A3,FULL STOP WORK ORDER SERVED                                             F,1,FULL STOP WORK ORDER ISSUED FOR DENIED OF ENTRY UNDER ACTIVE PERMIT #122823588,,
1003397,1446125,1L,GAS UTILITY REFERRAL,D,1,Manhattan,23,HENRY STREET,10002,0,WALK-UP APTS:OLD LAW TENEMENTS,C4,0,3/21/2017,4,2017,4/3/2017 0:00,2758,L2,STOP WORK ORDER FULLY RESCINDED                                         N,2,STOP WORK ORDER FULLY RESCINDED; NO ACTIVE WORK GOING ON; GAS IS OFF FOR THE ENT IRE BUILDING; NO FURTHER ACTION IS NECESSARY,,
1003432,1457442,1L,GAS UTILITY REFERRAL,D,1,Manhattan,17,EAST BROADWAY,10002,0,CONDOMINIUMS:SPECIAL CONDO BILLING LOT,R0,0,8/10/2017,9,2017,9/21/2017 0:00,2679,H1,PLEASE SEE COMPLAINT NUMBER,1,SEE COMPLAINT# 1456058. GAS METER VALVE STILL LOCKED.,,
1003491,1442974,1L,GAS UTILITY REFERRAL,D,1,Manhattan,34,EAST BROADWAY,10002,6,WALK-UP APTS:OVER 6 FAMILIES(W STORES),C7,6,2/7/2017,3,2017,3/2/2017 0:00,2758,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,0,NO VIOLATING CONDITIONS AT THE TIME OF INSPECTION; FLEX HOSE THAT WAS RUN FROM T HE APPLIANCE VALVE TO THE HVAC UNIT WAS REMOVED AND HARD PIPE WAS INSTALLED; NO  FURTHER ACTION NECESSARY,,
1003523,1451344,1L,GAS UTILITY REFERRAL,D,1,Manhattan,13,DIVISION STREET,10002,5,WALK-UP APTS:OVER 6 FAMILIES(W STORES),C7,5,5/23/2017,6,2017,6/24/2017 0:00,2758,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,NO ANSWER TO DOOR BELL OR MULTIPLE KNOCKS ON THE FRONT DOOR; LEFT A NOTICE TO    CALL FOR AN INSPECTION; FIRST ATTEMPT,,
